Data Source,World Development Indicators,,,,,
,,,,,,
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,848479,865360,880023
Tunisia,TUN,"Population, total",SP.POP.TOTL,4176266,4235937,4303131
Turkey,TUR,"Population, total",SP.POP.TOTL,27472331,28146893,28832805
Tuvalu,TUV,"Population, total",SP.POP.TOTL,6104,6246,6389
Tanzania,TZA,"Population, total",SP.POP.TOTL,10074507,10373398,10683906
Uganda,UGA,"Population, total",SP.POP.TOTL,6788214,7006633,7240174
Ukraine,UKR,"Population, total",SP.POP.TOTL,42662149,43203635,43749470
Upper middle income,UMC,"Population, total",SP.POP.TOTL,1169383343,1173937918,1190950075
Uruguay,URY,"Population, total",SP.POP.TOTL,2538651,2571690,2603887
United States,USA,"Population, total",SP.POP.TOTL,180671000,183691000,186538000
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,8549493,8837349,9138097
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,80949,82142,83206
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,8146847,8461685,8790589
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,8033,8155,8298
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,32000,34100,36300
Vietnam,VNM,"Population, total",SP.POP.TOTL,34743000,35428000,36123000
Vanuatu,VUT,"Population, total",SP.POP.TOTL,63699,65713,67808
World,WLD,"Population, total",SP.POP.TOTL,3034193297,3075115342,3127961482
Samoa,WSM,"Population, total",SP.POP.TOTL,108646,112119,115788
Kosovo,XKX,"Population, total",SP.POP.TOTL,947000,966000,994000
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,5172135,5260501,5351799
South Africa,ZAF,"Population, total",SP.POP.TOTL,17396367,17850045,18322335
Zambia,ZMB,"Population, total",SP.POP.TOTL,3044846,3140264,3240587
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,3747369,3870756,3999419
